,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank
2695,Gunnar Nelson,Rick Story,-360,325,27.77777778,325.0,10/4/2014,"Stockholm, Sweden", Sweden,Blue,False,Welterweight,MALE,5,0,1,0,6,6,41,0,0,2,4,2,2,0,10,Southpaw,175.26,180.34,170,0,4,0,4,0,7,0,0,0,1,0,3,0,4,Switch,180.34,182.88,170,26,30,0,-3,2,6,-6,34,0,2,-1,-5.08,-2.54,-4,21.125,-0.125,1.125,0,1,Red
2696,Akira Corassani,Max Holloway,480,-570,480.0,17.54385965,10/4/2014,"Stockholm, Sweden", Sweden,Blue,False,Featherweight,MALE,3,0,3,0,3,3,23,0,0,1,1,3,1,0,6,Orthodox,180.34,175.26,155,1,0,0,3,1,9,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,32,22,1,3,0,3,-2,14,0,3,1,7.62,2.54,10,39.5,0.222222222,-0.5,0,1,neither
2697,Ilir Latifi,Jan Blachowicz,-265,245,37.73584906,245.0,10/4/2014,"Stockholm, Sweden", Sweden,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,205,0,2,0,2,1,5,0,0,0,0,1,1,0,2,Orthodox,177.8,185.42,205,31,31,0,-2,-2,-2,1,-5,0,-1,-1,10.16,12.7,0,-11.33333333,-0.666666667,-1.0,0,1,neither
2698,Niklas Backstrom,Mike Wilkinson,-1000,650,10.0,650.0,10/4/2014,"Stockholm, Sweden", Sweden,Blue,False,Featherweight,MALE,3,1,0,0,1,1,4,0,0,0,1,0,0,0,1,Switch,170.18,172.72,145,0,1,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,185.42,187.96,145,25,27,-1,-1,0,0,-1,3,0,0,-1,-15.24,-15.24,-2,24.0,-2.0,1.0,0,1,neither
2699,Magnus Cedenblad,Scott Askham,-120,110,83.33333333,110.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,190.5,185,0,2,0,2,1,5,0,0,0,0,0,2,0,2,Orthodox,195.58,200.66,185,32,26,0,-2,-2,-2,1,-5,0,0,-2,-5.08,-10.16,6,-10.66666667,-1.0,-1.0,0,1,neither
2700,Nico Musoke,Alexander Yakovlev,-205,188,48.780487799999996,188.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Welterweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,190.5,187.96,155,1,0,0,2,1,7,0,0,0,1,0,1,0,2,Orthodox,182.88,190.5,170,28,30,0,0,-2,-2,0,-4,0,0,-1,7.62,-2.54,-2,-9.0,-0.333333333,-0.666666667,0,1,neither
2701,Dennis Siver,Charles Rosa,-290,260,34.48275862,260.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,145,2,0,0,4,7,39,0,0,0,5,3,2,0,10,Orthodox,167.64,177.8,145,35,28,2,0,-4,-10,7,-39,0,-3,-2,7.62,-2.54,7,-39.94117647,-0.176470588,-0.588235294,0,1,Red
2702,Cathal Pendred,Gasan Umalatov,-140,130,71.42857143,130.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Welterweight,MALE,3,0,1,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,0,1,0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,185.42,190.5,170,27,32,0,0,0,0,-1,4,0,0,-1,-5.08,-10.16,-5,18.0,-1.0,-1.5,0,1,neither
2703,Tor Troeng,Krzysztof Jotko,130,-140,130.0,71.42857143,10/4/2014,"Stockholm, Sweden", Sweden,Blue,False,Middleweight,MALE,3,1,0,0,1,1,5,0,0,0,1,0,0,0,1,Southpaw,185.42,195.58,185,2,0,0,1,2,7,0,0,0,0,0,1,0,1,Orthodox,187.96,195.58,185,31,25,1,0,0,0,1,-2,0,0,-1,-2.54,0.0,6,2.33333333,-0.333333333,-0.166666667,0,1,neither
2704,Mairbek Taisumov,Marcin Bandel,-150,140,66.66666667,140.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,185.42,155,26,24,1,0,-1,-1,1,-6,0,0,0,2.54,-7.62,2,-29.5,0.0,-2.5,0,1,neither
2705,Zubaira Tukhugov,Ernest Chavez,-260,240,38.46153846,240.0,10/4/2014,"Stockholm, Sweden", Sweden,Red,False,Featherweight,MALE,3,1,0,0,1,1,6,0,0,1,0,0,0,0,1,Orthodox,172.72,177.8,145,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,145,23,31,-1,-1,0,0,-1,3,0,0,0,0.0,5.08,-8,6.0,0.0,-2.0,0,1,neither
2706,Demetrious Johnson,Chris Cariaso,-1450,1150,6.896551724,1150.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,3,0,3,3,29,0,0,2,4,1,0,0,7,Southpaw,160.02,160.02,125,0,6,0,6,2,38,6,0,1,5,1,1,0,8,Orthodox,160.02,167.64,125,28,33,0,-3,-3,-1,-1,-9,-6,0,-1,0.0,-7.62,-5,-16.4,0.3,-3.0,0,1,Red
2707,Donald Cerrone,Eddie Alvarez,-135,125,74.07407407,125.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,155,0,4,0,4,3,27,0,0,0,3,4,4,0,11,Orthodox,185.42,185.42,155,31,30,0,-4,-4,-11,3,-27,0,-4,-4,-10.16,-10.16,1,-40.5,-0.35714285700000004,-0.7857142859999999,0,1,Red
2708,Dustin Poirier,Conor McGregor,240,-260,240.0,38.46153846,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,0,3,0,3,0,5,0,0,0,1,2,0,0,3,Southpaw,175.26,187.96,155,0,3,0,4,2,23,0,0,0,3,2,3,0,8,Southpaw,175.26,182.88,155,25,26,0,0,-1,-5,2,-18,0,0,-3,0.0,5.08,-1,-16.73333333,-0.8,0.566666667,0,1,Red
2709,Tim Kennedy,Yoel Romero,-133,123,75.18796992,123.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,0,4,0,4,0,10,0,0,0,1,3,0,0,4,Southpaw,182.88,185.42,185,0,3,0,3,0,9,0,0,0,2,1,0,0,3,Orthodox,180.34,187.96,185,35,37,0,1,1,1,0,1,0,2,0,2.54,-2.54,-2,-1.08333333,0.0,-0.583333333,0,1,Red
2710,Cat Zingano,Amanda Nunes,-215,195,46.51162791,195.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,2,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,172.72,175.26,145,0,1,0,1,0,3,0,0,0,0,1,0,0,1,Southpaw,167.64,172.72,145,32,26,0,1,1,1,0,-1,0,1,0,5.08,2.54,6,-23.0,-1.0,0.5,0,1,Red
2711,Dominick Cruz,Takeya Mizugaki,-560,475,17.85714286,475.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,0,5,0,5,2,26,0,0,3,3,1,0,0,7,Orthodox,170.18,172.72,135,0,2,0,2,0,10,2,0,0,2,0,0,0,2,Orthodox,172.72,172.72,135,29,30,0,3,3,5,-2,16,-2,1,0,-2.54,0.0,-1,-18.22222222,-0.38888888899999996,-5.222222222,0,1,Blue
2712,Jorge Masvidal,James Krause,-320,290,31.25,290.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,1,1,5,0,0,0,0,1,1,0,2,Orthodox,187.96,185.42,170,0,2,0,2,1,14,0,0,0,3,0,1,0,4,Orthodox,180.34,187.96,170,29,28,0,-1,-1,-2,0,-9,0,1,0,7.62,-2.54,1,0.26666667,-0.46666666700000003,-1.6666666669999999,0,1,Red
2713,Patrick Cote,Stephen Thompson,340,-380,340.0,26.31578947,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,0,3,0,3,1,10,0,0,0,1,3,0,0,4,Orthodox,182.88,190.5,170,0,3,0,4,8,36,2,0,1,3,2,0,0,7,Orthodox,180.34,180.34,170,34,31,0,0,-1,-3,7,-26,-2,1,0,2.54,10.16,3,16.6,-0.133333333,0.333333333,0,1,neither
2714,John Howard,Brian Ebersole,-240,220,41.66666667,220.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,2,0,0,4,2,16,0,0,1,2,1,0,0,4,Southpaw,182.88,185.42,170,1,0,0,4,4,28,0,0,3,1,2,0,0,6,Orthodox,170.18,180.34,170,31,33,-1,0,0,-2,2,-12,0,-1,0,12.7,5.08,-2,6.76666667,-0.333333333,-1.1,0,1,neither
2715,Jon Tuck,Kevin Lee,220,-240,220.0,41.66666667,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,1,1,6,0,0,1,0,0,0,0,1,Orthodox,175.26,195.58,170,0,1,0,1,1,9,0,0,0,1,1,0,0,2,Orthodox,180.34,185.42,155,30,22,0,0,0,-1,0,-3,0,-1,0,-5.08,10.16,8,-5.66666667,0.333333333,1.5,0,1,neither
2716,Manvel Gamburyan,Cody Gibson,145,-155,145.0,64.51612903,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,2,0,0,2,7,26,1,0,0,2,0,2,0,4,Orthodox,165.1,170.18,135,33,27,2,1,-1,-3,6,-22,-1,1,-2,12.7,10.16,6,-9.13636364,0.045454545,-0.090909091,0,1,neither
2717,Mark Hunt,Roy Nelson,-120,110,83.33333333,110.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Heavyweight,MALE,5,0,1,0,3,5,24,1,0,0,0,7,0,0,7,Orthodox,182.88,182.88,263,2,0,0,4,3,18,0,0,0,1,3,0,0,4,Orthodox,177.8,182.88,265,40,38,2,1,-1,3,-2,6,1,4,0,5.08,0.0,2,-17.5,-0.05952381,-0.607142857,0,1,Red
2718,Myles Jury,Takanori Gomi,-605,505,16.52892562,505.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Lightweight,MALE,3,0,1,0,2,4,18,0,0,1,1,2,0,0,4,Southpaw,170.18,177.8,155,0,5,0,5,0,12,0,0,1,2,1,1,0,5,Orthodox,177.8,185.42,145,25,35,0,-4,-3,-1,-4,6,0,1,-1,-7.62,-7.62,-10,16.3,-0.4,-2.275,0,1,Red
2719,Yoshihiro Akiyama,Amir Sadollah,-155,145,64.51612903,145.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Welterweight,MALE,3,1,0,0,2,4,25,1,0,1,3,1,1,0,6,Orthodox,177.8,187.96,170,4,0,0,1,4,13,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,39,34,3,0,1,5,0,12,1,1,1,0.0,2.54,5,24.7,0.1,-1.5,0,1,neither
2720,Miesha Tate,Rin Nakai,-310,280,32.25806452,280.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,152.4,135,0,1,0,1,2,9,1,0,0,1,0,0,0,1,Orthodox,167.64,165.1,135,28,27,0,-1,-1,-1,2,-9,-1,0,0,-12.7,-12.7,1,-24.66666667,-1.6666666669999999,-1.6666666669999999,0,1,Red
2721,Kiichi Kunimoto,Richard Walsh,-235,215,42.55319149,215.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Welterweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,0,2,0,2,0,2,0,0,0,0,0,1,0,2,Orthodox,177.8,180.34,170,33,25,0,-1,-1,-1,0,1,0,0,-1,5.08,5.08,8,62.5,-0.5,4.5,0,1,neither
2722,Kyoji Horiguchi,Jon Delos Reyes,-660,540,15.15151515,540.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Flyweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,125,0,2,0,2,0,5,0,0,0,1,1,0,0,2,Orthodox,165.1,167.64,125,23,27,-1,-2,-2,-2,-1,-4,0,-1,0,2.54,2.54,-4,-38.5,0.0,-0.5,0,1,Red
2723,Alex Caceres,Masanori Kanehara,-295,265,33.89830508,265.0,9/20/2014,"Saitama, Japan", Japan,Blue,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,1,0,0,2,5,26,0,0,2,1,0,2,0,5,Southpaw,177.8,185.42,145,26,31,1,0,-2,-5,5,-26,0,0,-2,-7.62,-15.24,-5,-45.4,-1.2,-0.2,0,1,Red
2724,Katsunori Kikuno,Sam Sicilia,-145,135,68.96551724,135.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Featherweight,MALE,3,0,1,0,1,3,13,0,0,0,1,2,0,0,3,Orthodox,172.72,170.18,145,1,0,0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,172.72,167.64,145,32,28,1,1,0,2,-2,9,0,2,0,0.0,2.54,4,4.16666667,0.333333333,-0.166666667,0,1,neither
2725,Hyun Gyu Lim,Takenori Sato,-660,540,15.15151515,540.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Welterweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,170,1,0,0,2,1,8,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,170,29,29,0,0,-2,-2,0,-7,0,-2,0,-12.7,-15.24,0,-70.0,-0.333333333,-0.333333333,0,1,neither
2726,Michinori Tanaka,Kyung Ho Kang,-150,140,66.66666667,140.0,9/20/2014,"Saitama, Japan", Japan,Blue,False,Bantamweight,MALE,3,0,1,0,1,2,9,0,0,0,0,0,1,0,1,Orthodox,175.26,185.42,135,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,135,23,27,0,0,0,0,-2,6,0,0,1,10.16,15.24,-4,12.0,0.333333333,0.333333333,0,1,neither
2727,Kazuki Tokudome,Johnny Case,-130,120,76.92307692,120.0,9/20/2014,"Saitama, Japan", Japan,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,2,0,0,1,2,9,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,155,27,25,2,0,-1,-1,2,-9,0,0,0,-2.54,-2.54,2,-35.66666667,0.0,-2.0,0,1,neither
2728,Maximo Blanco,Dan Hooker,-135,125,74.07407407,125.0,9/20/2014,"Saitama, Japan", Japan,Red,False,Featherweight,MALE,3,0,1,0,1,0,1,0,0,0,0,1,0,0,1,Switch,182.88,190.5,155,0,1,0,1,3,13,0,0,0,2,0,0,0,2,Orthodox,172.72,180.34,145,30,24,0,0,0,-1,3,-12,0,1,0,10.16,10.16,6,-23.8,-0.2,-1.4,0,1,neither
2729,Antonio Silva,Andrei Arlovski,-430,380,23.25581395,380.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,False,Heavyweight,MALE,5,0,4,0,6,4,29,5,0,1,1,7,2,0,11,Orthodox,190.5,195.58,240,2,0,0,2,3,11,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,34,35,2,4,4,9,-1,18,4,5,2,-2.54,-7.62,-1,-6.8,0.333333333,0.133333333,0,1,Red
2730,Gleison Tibau,Piotr Hallmann,-235,215,42.55319149,215.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,1,0,1,1,8,0,0,0,0,0,2,0,2,Orthodox,175.26,180.34,155,0,1,0,3,8,55,0,0,3,6,1,4,0,14,Southpaw,177.8,180.34,155,30,27,0,0,-2,-12,7,-47,0,-1,-2,-2.54,0.0,3,32.03030303,-0.06060606,-0.409090909,0,1,neither
2731,Leonardo Santos,Efrain Escudero,-210,190,47.61904762,190.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Lightweight,MALE,3,3,0,0,2,4,19,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,1,0,0,1,1,5,1,0,0,0,0,1,0,1,Orthodox,182.88,190.5,155,34,28,-2,0,1,2,-3,14,0,1,-1,-7.62,-12.7,6,5.0,0.5,0.642857143,0,1,neither
2732,Santiago Ponzinibbio,Wendell Oliveira,-105,-105,95.23809524,95.23809524,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,27,31,1,0,0,0,1,-3,0,0,0,-5.08,-2.54,-4,-25.0,0.0,0.0,0,1,neither
2733,Iuri Alcantara,Russell Doane,-315,285,31.74603175,285.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,2,0,2,0,5,0,0,1,0,0,1,0,2,Orthodox,170.18,177.8,135,0,2,0,2,3,18,0,0,1,2,2,0,0,5,Southpaw,175.26,180.34,135,34,28,0,0,0,-3,3,-13,0,-2,1,-5.08,-2.54,6,9.125,-0.125,0.25,0,1,Red
2734,Jessica Andrade,Larissa Pacheco,-110,100,90.90909091,100.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,0,2,0,2,1,8,0,0,1,1,0,0,0,2,Orthodox,154.94,157.48,115,22,20,0,-2,-2,-2,1,-8,0,0,0,15.24,17.78,2,-94.0,-0.333333333,-1.6666666669999999,0,1,Red
2735,Godofredo Pepey,Dashon Johnson,-130,120,76.92307692,120.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Featherweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,0,1,0,1,3,9,1,0,1,0,1,0,0,2,Orthodox,170.18,185.42,145,27,26,-1,-1,-1,-2,2,-6,-1,-1,0,0.0,-7.62,1,-5.0,0.8,-0.2,0,1,neither
2736,Igor Araujo,George Sullivan,-130,120,76.92307692,120.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,0,2,0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,185.42,195.58,170,33,33,0,-1,-1,-1,0,-3,0,0,0,-2.54,-10.16,0,44.5,-1.0,1.5,0,1,neither
2737,Francisco Trinaldo,Leandro Silva,-185,170,54.05405405,170.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Lightweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,1,0,0,2,3,15,0,0,1,0,1,2,0,4,Southpaw,175.26,177.8,155,36,28,0,0,-2,-4,2,-12,0,-1,-2,0.0,5.08,8,25.28571429,-0.7142857140000001,-0.7142857140000001,0,1,neither
2738,Paulo Thiago,Sean Spencer,215,-235,215.0,42.55319149,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,False,Welterweight,MALE,3,1,0,0,2,2,12,0,0,1,1,0,0,0,2,Southpaw,177.8,190.5,170,2,0,0,2,7,29,0,0,0,3,1,1,0,5,Orthodox,180.34,185.42,170,33,27,1,0,0,-3,5,-17,0,-1,-1,-2.54,5.08,6,50.33333333,-1.0,-1.166666667,0,1,neither
2739,Rani Yahya,Johnny Bedford,115,-125,115.0,80.0,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,False,Bantamweight,MALE,3,3,0,0,2,3,10,0,0,0,0,2,0,0,2,Orthodox,177.8,180.34,135,2,0,0,3,3,17,0,0,0,3,0,1,0,4,Orthodox,167.64,170.18,135,30,31,-1,0,-1,-2,0,-7,0,2,-1,10.16,10.16,-1,20.68571429,-1.285714286,-0.857142857,0,1,neither
2740,Jacare Souza,Gegard Mousasi,-185,170,54.05405405,170.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Middleweight,MALE,5,0,1,0,1,1,9,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,0,3,0,3,0,5,0,0,0,1,1,1,0,3,Orthodox,185.42,182.88,185,34,29,0,-2,-2,-1,-1,4,0,-1,0,2.54,10.16,5,27.33333334,-0.666666666,-1.0,0,1,Blue
2741,Alistair Overeem,Ben Rothwell,-330,300,30.303030300000003,300.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Blue,False,Heavyweight,MALE,3,0,1,0,1,3,14,0,0,0,1,2,0,0,3,Orthodox,193.04,198.12,265,0,1,0,1,2,8,0,0,0,1,1,0,0,2,Orthodox,193.04,203.2,265,34,32,0,0,0,1,-1,6,0,1,0,0.0,-5.08,2,-19.58333333,0.333333333,0.916666667,0,1,Red
2742,Matt Mitrione,Derrick Lewis,116,-126,116.0,79.36507937,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Heavyweight,MALE,3,0,2,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,190.5,200.66,260,0,1,0,5,3,17,0,0,0,1,6,0,0,7,Switch,190.5,200.66,265,36,29,0,1,-3,-5,3,-15,0,-4,0,0.0,0.0,7,-11.9,-0.4,1.0,0,1,neither
2743,Joe Lauzon,Michael Chiesa,190,-210,190.0,47.61904762,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Lightweight,MALE,3,0,2,0,2,1,10,1,0,0,1,0,3,0,4,Southpaw,185.42,190.5,170,0,1,0,3,6,31,0,0,0,1,2,7,0,10,Orthodox,177.8,180.34,155,30,26,0,1,-1,-6,5,-21,1,-2,-4,7.62,10.16,4,-4.6375,-0.625,0.0875,0,1,neither
2744,John Moraga,Justin Scoggins,230,-250,230.0,40.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Flyweight,MALE,3,1,0,0,2,1,7,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,125,1,0,0,2,2,14,1,0,1,0,1,1,0,3,Orthodox,167.64,167.64,125,30,22,0,0,0,-1,1,-7,-1,0,-1,2.54,0.0,8,8.73333333,0.6,3.733333333,0,1,Red
2745,Al Iaquinta,Rodrigo Damm,-600,500,16.66666667,500.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,2,2,13,0,0,1,1,0,1,0,3,Orthodox,170.18,180.34,155,1,0,0,3,2,12,1,0,0,3,0,0,0,3,Orthodox,177.8,177.8,155,27,34,0,0,-1,0,0,1,-1,0,1,-7.62,2.54,-7,1.4,-0.2,-0.8,0,1,neither
2746,Rafael Natal,Chris Camozzi,-185,170,54.05405405,170.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Middleweight,MALE,3,3,0,0,4,5,29,0,0,2,2,0,1,1,6,Orthodox,187.96,193.04,185,2,0,0,3,5,27,0,0,0,4,0,1,0,5,Orthodox,182.88,193.04,185,31,27,-1,0,1,1,0,2,0,1,0,5.08,0.0,4,9.15454545,-0.336363636,-2.1,0,1,neither
2747,Chris Beal,Tateki Matsuda,-500,435,20.0,435.0,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,170.18,175.26,125,29,28,0,-1,-1,-1,0,-2,0,-1,0,0.0,-10.16,1,-19.0,0.0,0.0,0,1,neither
2748,Sean Soriano,Chas Skelly,170,-185,170.0,54.05405405,9/5/2014,"Ledyard, Connecticut, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,1,1,4,0,0,0,0,0,1,0,1,Orthodox,180.34,182.88,145,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,24,29,1,1,1,1,0,2,0,0,1,5.08,5.08,-5,-8.5,0.5,0.5,0,1,neither
2749,TJ Dillashaw,Joe Soto,-1100,900,9.090909091,900.0,8/30/2014,"Sacramento, California, USA", USA,Red,True,Bantamweight,MALE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,0,2,0,4,2,19,2,0,0,2,3,1,0,6,Orthodox,167.64,170.18,125,28,27,0,-2,-4,-6,2,-19,-2,-3,-1,0.0,-5.08,1,-53.375,-1.375,-1.5,0,1,Red
2750,Tony Ferguson,Danny Castillo,-265,245,37.73584906,245.0,8/30/2014,"Sacramento, California, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,3,3,26,0,0,1,4,2,0,0,7,Orthodox,175.26,180.34,155,0,2,0,3,1,10,1,0,0,1,2,1,1,5,Orthodox,180.34,193.04,155,30,35,0,-1,0,2,-2,16,-1,-1,-1,-5.08,-12.7,-5,0.0,-0.3,2.0333333330000003,0,1,neither
2751,Bethe Correia,Shayna Baszler,-145,135,68.96551724,135.0,8/30/2014,"Sacramento, California, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,2,0,2,0,6,0,0,1,1,0,0,0,2,Orthodox,165.1,162.56,135,31,34,0,-2,-2,-2,0,-6,0,0,0,5.08,7.62,-3,-78.0,0.0,-0.5,0,1,Red
2752,Ramsey Nijem,Diego Ferreira,170,-185,170.0,54.05405405,8/30/2014,"Sacramento, California, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,155,0,2,0,3,3,15,1,0,0,3,2,0,0,5,Orthodox,180.34,190.5,155,26,29,0,-1,-2,-4,3,-14,-1,-2,1,-5.08,-2.54,-3,-19.375,0.25,-1.75,0,1,neither
